#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
211	15/03/2023	17:41:14.244	0.00000000E+0	4.71238898E+0	4.00000000E+0	4.40981127E+0	2.48100000E+3	5.84678040E-1
213	15/03/2023	17:41:17.173	0.00000000E+0	4.81708317E+0	4.00000000E+0	1.91018958E+0	2.47200000E+3	5.41793150E-1
215	15/03/2023	17:41:20.136	0.00000000E+0	4.92177736E+0	4.00000000E+0	4.59120450E+0	2.51000000E+3	5.05917893E-1
217	15/03/2023	17:41:23.100	0.00000000E+0	5.02647155E+0	4.00000000E+0	1.07186908E+0	2.51300000E+3	6.05076260E-1
219	15/03/2023	17:41:26.082	0.00000000E+0	5.13116574E+0	4.00000000E+0	4.34461709E+0	2.50400000E+3	5.98785449E-1
221	15/03/2023	17:41:29.046	0.00000000E+0	5.23585992E+0	4.00000000E+0	3.98950053E+0	2.49300000E+3	5.78781642E-1
223	15/03/2023	17:41:32.027	0.00000000E+0	5.34055411E+0	4.00000000E+0	6.69966109E-1	2.48500000E+3	4.39280338E-1
225	15/03/2023	17:41:35.023	0.00000000E+0	5.44524830E+0	4.00000000E+0	4.80634530E+0	2.47200000E+3	3.40757599E-1
227	15/03/2023	17:41:38.008	0.00000000E+0	5.55032599E+0	4.00000000E+0	1.36485941E+0	2.49800000E+3	4.78297408E-1
229	15/03/2023	17:41:40.993	0.00000000E+0	5.65502017E+0	4.00000000E+0	3.98068014E-1	2.50900000E+3	3.79786404E-1
231	15/03/2023	17:41:43.959	0.00000000E+0	5.75971436E+0	4.00000000E+0	5.10853952E+0	2.51600000E+3	4.98982135E-1
233	15/03/2023	17:41:46.968	0.00000000E+0	5.86440855E+0	4.00000000E+0	2.96825282E+0	2.49200000E+3	5.44931582E-1
235	15/03/2023	17:41:49.928	0.00000000E+0	5.96910274E+0	4.00000000E+0	3.81846168E+0	2.47000000E+3	3.40752505E-1
237	15/03/2023	17:41:52.883	0.00000000E+0	6.07379693E+0	4.00000000E+0	1.08145646E-1	2.47100000E+3	3.52021155E-1
239	15/03/2023	17:41:55.921	0.00000000E+0	6.17849112E+0	4.00000000E+0	3.78279662E+0	2.49700000E+3	3.09872932E-1
241	15/03/2023	17:41:58.918	0.00000000E+0	6.28318531E+0	4.00000000E+0	4.15133551E+0	2.51100000E+3	6.45825628E-1
