#Iteration	Date	Time	STSX	STSY	RotationRateX	RotationRateY	FrCntX	FrCntY	TiptiltCmd1	TiptiltCmd2	TiptiltMonitor1	TiptiltMonitor2
84	02/09/2022	16:54:17.465	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99993E+1	1.39984E+1
85	02/09/2022	16:54:18.886	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99968E+1	1.39998E+1
86	02/09/2022	16:54:20.414	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99996E+1	1.40014E+1
87	02/09/2022	16:54:21.798	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00000E+1	1.40001E+1
88	02/09/2022	16:54:23.287	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00001E+1	1.40002E+1
89	02/09/2022	16:54:24.681	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99994E+1	1.40009E+1
90	02/09/2022	16:54:26.129	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00001E+1	1.40009E+1
91	02/09/2022	16:54:27.643	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99998E+1	1.39977E+1
92	02/09/2022	16:54:29.045	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99998E+1	1.40017E+1
93	02/09/2022	16:54:30.541	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99994E+1	1.40008E+1
94	02/09/2022	16:54:31.964	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99997E+1	1.40018E+1
95	02/09/2022	16:54:33.351	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99993E+1	1.40022E+1
96	02/09/2022	16:54:34.891	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00008E+1	1.39999E+1
97	02/09/2022	16:54:36.287	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99989E+1	1.40013E+1
98	02/09/2022	16:54:37.743	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99991E+1	1.40002E+1
99	02/09/2022	16:54:39.247	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99994E+1	1.40014E+1
100	02/09/2022	16:54:40.638	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99997E+1	1.39998E+1
101	02/09/2022	16:54:42.116	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00015E+1	1.39996E+1
102	02/09/2022	16:54:43.507	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99996E+1	1.39960E+1
103	02/09/2022	16:54:44.875	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00015E+1	1.39982E+1
104	02/09/2022	16:54:46.447	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00006E+1	1.39993E+1
105	02/09/2022	16:54:47.818	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99986E+1	1.39984E+1
106	02/09/2022	16:54:49.251	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99990E+1	1.39979E+1
107	02/09/2022	16:54:50.653	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99994E+1	1.39987E+1
108	02/09/2022	16:54:52.023	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99983E+1	1.40004E+1
109	02/09/2022	16:54:53.530	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00012E+1	1.39989E+1
110	02/09/2022	16:54:54.920	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99997E+1	1.40000E+1
111	02/09/2022	16:54:56.289	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00022E+1	1.40008E+1
112	02/09/2022	16:54:57.875	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00001E+1	1.40001E+1
113	02/09/2022	16:54:59.252	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99984E+1	1.39985E+1
114	02/09/2022	16:55:00.763	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99991E+1	1.40010E+1
115	02/09/2022	16:55:02.148	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00006E+1	1.40005E+1
116	02/09/2022	16:55:03.536	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00021E+1	1.40003E+1
117	02/09/2022	16:55:05.015	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00013E+1	1.40019E+1
118	02/09/2022	16:55:06.393	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99991E+1	1.40009E+1
119	02/09/2022	16:55:07.808	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00029E+1	1.39997E+1
120	02/09/2022	16:55:09.294	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00004E+1	1.39992E+1
121	02/09/2022	16:55:10.693	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99986E+1	1.40009E+1
122	02/09/2022	16:55:12.223	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99975E+1	1.40015E+1
123	02/09/2022	16:55:13.599	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99990E+1	1.40004E+1
124	02/09/2022	16:55:14.987	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99993E+1	1.39984E+1
125	02/09/2022	16:55:16.506	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00002E+1	1.39980E+1
126	02/09/2022	16:55:17.881	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00005E+1	1.39984E+1
127	02/09/2022	16:55:19.417	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99984E+1	1.40017E+1
128	02/09/2022	16:55:20.860	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00000E+1	1.39985E+1
129	02/09/2022	16:55:22.222	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00020E+1	1.40004E+1
130	02/09/2022	16:55:23.756	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00016E+1	1.40002E+1
131	02/09/2022	16:55:25.146	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99991E+1	1.40021E+1
132	02/09/2022	16:55:26.540	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99970E+1	1.40000E+1
133	02/09/2022	16:55:28.034	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00003E+1	1.40004E+1
134	02/09/2022	16:55:29.436	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99998E+1	1.40003E+1
135	02/09/2022	16:55:30.942	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00025E+1	1.40001E+1
136	02/09/2022	16:55:32.322	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00012E+1	1.39978E+1
137	02/09/2022	16:55:33.711	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	1.99981E+1	1.40002E+1
138	02/09/2022	16:55:35.212	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00019E+1	1.39996E+1
139	02/09/2022	16:55:36.603	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00008E+1	1.40010E+1
140	02/09/2022	16:55:38.005	0.00000E+0	0.00000E+0	1.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	2.00000E+1	1.40000E+1	2.00016E+1	1.39998E+1
