#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
124	15/03/2023	17:09:22.342	7.90767096E-1	-2.39400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
125	15/03/2023	17:09:23.941	4.23417047E+0	2.39300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
126	15/03/2023	17:09:25.470	4.78218511E-1	-2.44800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
127	15/03/2023	17:09:26.948	2.40950032E+0	2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
128	15/03/2023	17:09:28.455	2.07432552E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
129	15/03/2023	17:09:29.975	5.74015611E+0	2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
130	15/03/2023	17:09:31.491	3.38051016E+0	-2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
131	15/03/2023	17:09:33.010	1.16697588E+0	2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
132	15/03/2023	17:09:34.492	3.42844706E-1	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
133	15/03/2023	17:09:36.027	6.67665138E-1	2.47400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
134	15/03/2023	17:09:37.504	3.49747620E-1	-2.49200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
135	15/03/2023	17:09:38.961	2.12456339E-1	2.49300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
136	15/03/2023	17:09:40.747	2.33471876E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
137	15/03/2023	17:09:42.334	1.33571377E+0	2.49600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
138	15/03/2023	17:09:43.836	1.08375743E+0	-2.46500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
139	15/03/2023	17:09:45.342	1.85419928E+0	2.44500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
140	15/03/2023	17:09:46.814	1.69274780E+0	-2.45400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
141	15/03/2023	17:09:48.357	1.65286430E+0	2.49800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
142	15/03/2023	17:09:49.821	2.87583048E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
143	15/03/2023	17:09:51.326	3.76247138E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
144	15/03/2023	17:09:52.820	5.63622891E+0	-2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
145	15/03/2023	17:09:54.355	1.26591765E+0	2.51200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
146	15/03/2023	17:09:55.879	4.34653456E+0	-2.49800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
147	15/03/2023	17:09:57.381	3.67963641E+0	2.47500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
148	15/03/2023	17:09:58.863	4.91640843E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
149	15/03/2023	17:10:00.382	4.04050540E+0	2.50200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
150	15/03/2023	17:10:01.863	6.14359306E+0	-2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
151	15/03/2023	17:10:03.399	4.02478209E+0	2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
152	15/03/2023	17:10:04.887	1.87720899E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
153	15/03/2023	17:10:06.384	2.42177217E+0	2.50700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
154	15/03/2023	17:10:07.850	2.37306828E+0	-2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
155	15/03/2023	17:10:09.330	5.10240360E+0	2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
156	15/03/2023	17:10:10.829	2.14603912E+0	-2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
157	15/03/2023	17:10:12.328	1.09372830E+0	2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
158	15/03/2023	17:10:13.833	3.06604410E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
159	15/03/2023	17:10:15.281	6.10562703E+0	2.51200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
160	15/03/2023	17:10:16.779	6.01742314E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
161	15/03/2023	17:10:18.287	9.05048665E-1	2.50600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
162	15/03/2023	17:10:19.793	5.14305409E+0	-2.50200000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
163	15/03/2023	17:10:21.293	4.55170449E+0	2.47900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
164	15/03/2023	17:10:22.783	5.31907838E-1	-2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
165	15/03/2023	17:10:24.262	4.27673844E+0	2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
166	15/03/2023	17:10:25.747	1.86762161E+0	-2.52100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
167	15/03/2023	17:10:27.244	2.85435475E+0	2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
168	15/03/2023	17:10:28.762	4.93788416E+0	-2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
169	15/03/2023	17:10:30.251	5.27305896E+0	2.47100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
170	15/03/2023	17:10:31.774	5.84638428E+0	-2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
171	15/03/2023	17:10:33.257	5.82797651E+0	2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
172	15/03/2023	17:10:34.696	3.59488398E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
173	15/03/2023	17:10:36.194	2.63346152E+0	2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
174	15/03/2023	17:10:37.713	3.34829656E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
175	15/03/2023	17:10:39.215	2.05246629E+0	2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
176	15/03/2023	17:10:40.665	2.63806346E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
177	15/03/2023	17:10:42.118	5.66805901E+0	2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
178	15/03/2023	17:10:43.597	1.42046621E+0	-2.50400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
179	15/03/2023	17:10:45.050	4.68170936E+0	2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
180	15/03/2023	17:10:46.564	6.12940373E+0	-2.51800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
181	15/03/2023	17:10:48.060	1.26783512E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
182	15/03/2023	17:10:49.580	6.22412705E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
183	15/03/2023	17:10:51.034	2.07202455E+0	2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
184	15/03/2023	17:10:52.537	1.55814099E+0	-2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
185	15/03/2023	17:10:54.068	1.67165556E+0	2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
186	15/03/2023	17:10:55.549	4.25564620E+0	-2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
187	15/03/2023	17:10:57.041	4.23647144E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
188	15/03/2023	17:10:58.568	5.75664640E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
189	15/03/2023	17:11:00.233	4.37606369E+0	2.49600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
190	15/03/2023	17:11:01.961	2.23616049E+0	-2.48500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
191	15/03/2023	17:11:03.411	4.88841328E+0	2.50400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
192	15/03/2023	17:11:04.894	5.03720941E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
193	15/03/2023	17:11:06.413	1.53973322E+0	2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
194	15/03/2023	17:11:07.896	3.80503934E+0	-2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
195	15/03/2023	17:11:09.377	4.08805880E-1	2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
196	15/03/2023	17:11:10.892	3.26968005E+0	-2.48300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
197	15/03/2023	17:11:12.371	4.60002489E+0	2.48000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
198	15/03/2023	17:11:13.867	3.72182089E+0	-2.50800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
199	15/03/2023	17:11:15.367	1.07723801E+0	2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
200	15/03/2023	17:11:16.900	2.90535961E+0	-2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
201	15/03/2023	17:11:18.439	3.97991315E+0	2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
202	15/03/2023	17:11:19.927	1.78862160E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
203	15/03/2023	17:11:21.417	1.15547103E+0	2.48000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
204	15/03/2023	17:11:22.915	3.40697133E+0	-2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
205	15/03/2023	17:11:24.398	3.80273837E+0	2.50000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
206	15/03/2023	17:11:25.855	3.70609758E+0	-2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
207	15/03/2023	17:11:27.313	2.67449550E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
208	15/03/2023	17:11:28.815	3.12165090E+0	-2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
209	15/03/2023	17:11:30.334	4.05085977E+0	2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
210	15/03/2023	17:11:31.822	1.72112644E+0	-2.47600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
211	15/03/2023	17:11:33.299	1.20647589E+0	2.48600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
212	15/03/2023	17:11:34.798	1.58000021E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
213	15/03/2023	17:11:36.304	5.34745703E+0	2.50800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
214	15/03/2023	17:11:37.791	5.35014149E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
215	15/03/2023	17:11:39.251	1.06650014E+0	2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
216	15/03/2023	17:11:40.791	2.91072855E-1	-2.50500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
217	15/03/2023	17:11:42.281	1.30925260E+0	2.49900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
